mE,M_phi
0,699.9580382865197
1,13749.927227157013
2,19432.73085047447
3,23794.989596971194
4,27473.114195355956
5,30713.880401543003
6,33643.912779396254
7,36338.45424551069
8,38846.53934209124
9,41202.23237663619
10,43430.33800050523
11,45549.58327927982
12,47574.51825349452
13,49516.71444316791
14,51385.55442435649
15,53188.771087597874
16,54932.827236338286
17,56623.189760062145
18,58264.53210220385
19,59860.886692660955
20,61415.76167591314
21,62932.23165351476
22,64413.009179891975
23,65860.50177750064
24,67276.85790238423
25,68664.0043698964
26,70023.67710324001
27,71357.44660556881
28,72666.73922182352
29,73952.85501085488
30,75216.98286583064
31,76460.21338368674
32,77683.5498801212
33,78887.91786664014
34,80074.17324423876
35,81243.10941994455
36,82395.4635143945
37,83531.92179844102
38,84653.1244726852
39,85759.66988446911
40,86852.11826119396
41,87930.99502608758
42,88996.79375211992
43,90049.97880119142
44,91090.98768863357
45,92120.233207177
46,93138.10533963355
47,94144.97298542707
48,95141.18552264855
49,96127.07422438997
50,97102.95354563551
51,98069.12229488154
52,99025.86470286
53,99973.45139919872
54,100912.14030653043
55,101842.17746042126
56,102763.79776250536
57,103677.22567335791
58,104582.67585089695
59,105480.35373945854
60,106370.45611412474
61,107253.1715843904
62,108128.6810608201
63,108997.15818796626
64,109858.76974648242
65,110713.67602706929
66,111562.03117862811
67,112403.98353276294
68,113239.67590656645
69,114069.24588543965
70,114892.82608753121
71,115710.54441123597
72,116522.52426706026
73,117328.88479504437
74,118129.74106882678
75,118925.20428733955
76,119715.3819550393
77,120500.37805150056
78,121280.29319112934
79,122055.22477369066
80,122825.26712628845
81,123590.51163738339
82,124351.04688338733
83,125106.95874833148
84,125858.33053706517
85,126605.24308240833
86,127347.77484664725
87,128086.00201773475
88,128819.99860052805
89,129549.8365033745
90,130275.58562033104
91,130997.31390928384
92,131715.08746621557
93,132428.97059584924
94,133139.02587888308
95,133845.31423601508
96,134547.89498894234
97,135246.82591850872
98,135942.16332016152
99,136633.962056868
100,137322.2756096328
101,138007.15612574722
102,138688.6544648945
103,139366.82024322558
104,140041.7018755139
105,140713.3466154906
106,141381.80059445486
107,142047.10885824924
108,142709.31540268334
109,143368.46320748472
110,144024.59426885177
111,144677.7496306773
112,145327.96941450963
113,145975.29284831206
114,146619.75829407986
115,147261.40327436937
116,147900.26449779127
117,148536.37788351678
118,149169.7785848437
119,149800.50101186516
120,150428.57885328322
121,151054.0450974061
122,151676.93205236603
123,152297.27136559293
124,152915.09404257694
125,153530.4304649517
126,154143.31040792752
127,154753.76305710356
128,155361.81702468503
129,155967.50036513183
130,156570.84059026185
131,157171.864683833
132,157770.59911562465
133,158367.06985504052
134,158961.30238425185
135,159553.32171089997
136,160143.15238037636
137,160730.81848769716
138,161316.34368898824
139,161899.75121259646
140,162481.06386984175
141,163060.30406542445
142,163637.49380750087
143,164212.6547174401
144,164785.80803927453
145,165356.9746488553
146,165926.17506272436
147,166493.4294467131
148,167058.7576242788
149,167622.17908458755
150,168183.71299035373
151,168743.37818544442
152,169301.193202258
153,169857.1762688841
154,170411.34531605392
155,170963.71798388712
156,171514.31162844374
157,172063.14332808717
158,172610.22988966483
159,173155.58785451346
160,173699.23350429448
161,174241.18286666568
162,174781.45172079434
163,175320.05560271768
164,175857.00981055538
165,176392.32940957966
166,176926.0292371466
167,177458.1239074948
168,177988.62781641417
169,178517.5551457905
170,179044.9198680287
