mE,M_phi
0,690.9259433629106
1,13572.501364811784
2,19181.97539344007
3,23487.944540750676
4,27118.60744142912
5,30317.555515466738
6,33209.779393464756
7,35869.551075388474
8,38345.27237346639
9,40670.56803757311
10,42869.9226458425
11,44961.821614346234
12,46960.627233440784
13,48877.76170708092
14,50722.48654086576
15,52502.43484201992
16,54223.98601957351
17,55892.536419627395
18,57512.69918066761
19,59088.454699126036
20,60623.265851267795
21,62120.16756476458
22,63581.83739192731
23,65010.6517891542
24,66408.73148936025
25,67777.97844476739
26,69120.10617867188
27,70436.66492886012
28,71729.06263508723
29,72998.58258058262
30,74246.39831734687
31,75473.5863695388
32,76681.13710633441
33,77869.9640966836
34,79040.9121972618
35,80194.76457718312
36,81332.24884547648
37,82454.04241753896
38,83560.77723299513
39,84653.0439182743
40,85731.39547175486
41,86796.35053674607
42,87848.3963172868
43,88887.99118327849
44,89915.56700447491
45,90931.53124704299
46,91936.26886156415
47,92930.1439872864
48,93913.50149402305
49,94886.6683802107
50,95849.95504319445
51,96803.65643572992
52,97748.05312091587
53,98683.41223625206
54,99609.9883762108
55,100528.02440158543
56,101437.75218290662
57,102339.39328437467
58,103233.1595940237
59,104119.25390519538
60,104997.87045384315
61,105869.1954156998
62,106733.4073669128
63,107590.67771137605
64,108441.17107765458
65,109285.04568810508
66,110122.45370253701
67,110953.54153852732
68,111778.4501702995
69,112597.31540789358
70,113410.26815819336
71,114217.4346692312
72,115018.93675906149
73,115814.89203037745
74,116605.41407194226
75,117390.61264781075
76,118170.59387523489
77,118945.46039206866
78,119715.31151442057
79,120480.24338523916
80,121240.34911446058
81,121995.71891129714
82,122746.44020919823
83,123492.59778397427
84,124234.27386553492
85,124971.5482436588
86,125704.49836817957
87,126433.19944394469
88,127157.72452087625
89,127878.14457943909
90,128594.52861179947
91,129306.94369893683
92,130015.45508395236
93,130720.1262418017
94,131421.0189456619
95,132118.19333013
96,132811.7079514351
97,133501.61984483592
98,134187.98457936168
99,134870.8563100459
100,135550.2878277918
101,136226.33060699928
102,136899.03485107506
103,137568.4495359396
104,138234.62245163828
105,138897.6002421558
106,139557.42844352848
107,140214.15152034242
108,140867.81290070005
109,141518.45500973304
110,142166.11930173505
111,142810.84629098236
112,143452.67558130852
113,144091.6458944925
114,144727.79509751956
115,145361.1602287678
116,145991.7775231726
117,146619.68243641665
118,147244.90966819166
119,147867.49318457485
120,148487.46623956104
121,149104.86139578876
122,149719.71054449744
123,150332.0449247496
124,150941.89514195154
