mE,M_phi
0,425.1529486300057
1,8351.67447010689
2,11803.395695208148
3,14453.020635105933
4,16687.10379538805
5,18655.536248937668
6,20435.229493473198
7,22071.885923602524
8,23595.289022519857
9,25026.129384027525
10,26379.473305849795
11,27666.695572476936
12,28896.633851788072
13,30076.31666422287
14,31211.442969959484
15,32306.70971339503
16,33366.04239046382
17,34392.76158084723
18,35389.705926581126
19,36359.3247192642
20,37303.74880048948
21,38224.84567865852
22,39124.262955391445
23,40003.46295642526
24,40863.75065100702
25,41706.29638420778
26,42532.154553528155
27,43342.279080606095
28,44137.53632561746
29,44918.71594277126
30,45686.5400644179
31,46441.671117931015
32,47184.718516195375
33,47916.24441394828
34,48636.76868460718
35,49346.77324284597
36,50046.70581506687
37,50736.983241585745
38,51417.99437971278
39,52090.102665146616
40,52753.64837958575
41,53408.95066472044
42,54056.309316436236
43,54696.00638785282
44,55328.30762551805
45,55953.46375950284
46,56571.71166516136
47,57183.27541182322
48,57788.36721158347
49,58387.188279581685
50,58979.92961565776
51,59566.77271599227
52,60147.8902222475
53,60723.44651478956
54,61293.598255768906
55,61858.494887143854
56,62418.27908813351
57,62973.087196067834
58,63523.04959415219
59,64068.291069270694
60,64608.931142610454
61,65145.08437558804
62,65676.86065329636
63,66204.36544745856
64,66727.70006067121
65,67246.96185353857
66,67762.24445614063
67,68273.6379651353
68,68781.22912767035
69,69285.1015131675
70,69785.33567394287
71,70282.00929553703
72,70775.19733754998
73,71264.97216570316
74,71751.4036757879
75,72234.55941010096
76,72714.50466691678
77,73191.30260349813
78,73665.01433310607
79,74135.69901643018
80,74603.41394782714
81,75068.21463672283
82,75530.15488450583
83,75989.28685721371
84,76445.66115428986
85,76899.3268736678
86,77350.33167341966
87,77798.72183018796
88,78244.54229460366
89,78687.83674387797
90,79128.64763174258
91,79567.01623589944
92,80002.98270313055
93,80436.58609220709
94,80867.8644147278
95,81296.85467400734
96,81723.59290212746
97,82148.11419525565
98,82570.45274732956
99,82990.64188219851
100,83408.71408430762
101,83824.70102800455
102,84238.63360554368
103,84650.5419538578
104,85060.45548016281
105,85468.40288645739
106,85874.41219297488
107,86278.51076064204
108,86680.72531259537
109,87081.081954803
110,87479.60619583708
111,87876.32296583918
112,88271.25663471848
113,88664.43102962032
114,89055.86945170087
115,89445.59469224067
116,89833.62904812937
117,90219.99433675081
118,90604.71191029694
119,90987.80266953685
120,91369.28707706634
121,91749.1851700617
122,92127.51657255983
123,92504.30050728684
124,92879.55580705412
125,93253.30092574231
126,93625.55394889014
127,93996.33260390612
128,94365.65426991889
129,94733.53598728226
130,95099.99446674882
131,95465.04609832715
132,95828.7069598349
133,96190.99282516123
134,96551.91917224968
135,96911.50119081416
136,97269.7537897975
137,97626.69160458422
138,97982.32900397645
139,98336.6800969429
140,98689.75873914988
141,99041.57853928242
142,99392.15286516437
143,99741.49484968465
144,100089.61739653749
145,100436.53318578335
146,100782.25467923796
147,101126.79412569509
148,101470.16356599003
149,101812.37483790929
150,102153.4395809521
151,102493.36924094961
152,102832.17507454637
153,103169.86815354951
154,103506.45936915022
155,103841.95943602188
156,104176.37889629972
157,104509.72812344553
158,104842.0173260021
159,105173.25655124056
160,105503.45568870488
161,105832.62447365692
162,106160.77249042496
163,106487.90917565982
164,106814.0438215008
165,107139.18557865528
166,107463.34345939402
167,107786.52634046595
168,108108.74296593381
169,108430.00194993473
170,108750.31177936672
171,109069.68081650465
172,109388.11730154722
173,109705.62935509748
174,110022.22498057886
175,110337.91206658895
176,110652.69838919264
177,110966.59161415687
178,111279.5992991286
179,111591.72889575774
180,111902.98775176685
181,112213.38311296912
182,112522.92212523635
183,112831.61183641816
184,113139.45919821429
185,113446.4710680009
186,113752.65421061282
187,114058.0153000825
188,114362.56092133724
189,114666.2975718559
190,114969.23166328616
191,115271.36952302349
192,115572.71739575312
193,115873.2814449557
194,116173.06775437815
195,116472.08232947014
196,116770.33109878779
197,117067.81991536486
198,117364.55455805293
199,117660.54073283101
200,117955.78407408559
201,118250.29014586197
202,118544.06444308755
203,118837.11239276796
204,119129.43935515666
205,119421.05062489884
206,119711.95143215013
207,120002.14694367099
208,120291.64226389736
209,120580.44243598805
210,120868.55244284972
211,121155.9772081399
212,121442.72159724862
213,121728.79041825919
214,122014.18842288884
215,122298.92030740947
216,122582.99071354915
217,122866.40422937502
218,123149.16539015764
219,123431.27867921782
220,123712.74852875587
221,123993.57932066386
222,124273.77538732153
223,124553.34101237607
224,124832.28043150605
225,125110.59783316999
226,125388.29735934033
227,125665.38310622229
228,125941.85912495895
229,126217.72942232208
230,126492.99796138964
231,126767.66866221001
232,127041.74540245312
233,127315.23201804915
234,127588.13230381488
235,127860.45001406794
236,128132.1888632294
237,128403.35252641469
238,128673.94464001356
239,128943.96880225901
240,129213.42857378536
241,129482.32747817608
242,129750.6690025013
243,130018.45659784532
244,130285.69367982441
245,130552.38362909507
246,130818.52979185285
247,131084.1354803223
248,131349.20397323772
249,131613.7385163154
250,131877.7423227172
251,132141.21857350593
252,132404.1704180924
253,132666.6009746747
254,132928.51333066946
255,133189.91054313575
256,133450.79563919114
257,133711.17161642076
258,133971.04144327913
259,134230.40805948485
260,134489.27437640866
261,134747.64327745466
262,135005.51761843485
263,135262.90022793756
264,135519.79390768925
265,135776.20143291046
266,136032.1255526653
267,136287.56899020553
268,136542.53444330845
269,136797.02458460946
270,137051.04206192863
271,137304.58949859228
272,137557.66949374886
273,137810.28462268005
274,138062.4374371061
275,138314.13046548679
276,138565.36621331712
277,138816.14716341824
278,139066.47577622367
279,139316.354490061
280,139565.78572142884
281,139814.77186526952
282,140063.31529523726
283,140311.41836396224
284,140559.0834033104
285,140806.31272463885
286,141053.108619048
287,141299.47335762868
288,141545.4091917064
289,141790.91835308107
290,142036.0030542634
291,142280.66548870743
292,142524.9078310395
293,142768.73223728393
294,143012.14084508474
295,143255.13577392456
296,143497.71912533967
297,143739.89298313225
298,143981.659413579
299,144223.02046563695
300,144463.9781711459
301,144704.53454502803
302,144944.69158548454
303,145184.45127418902
304,145423.81557647843
305,145662.78644154101
306,145901.3658026013
307,146139.55557710264
308,146377.35766688708
309,146614.77395837236
310,146851.80632272648
311,147088.45661603985
312,147324.72667949472
313,147560.61833953232
314,147796.13340801763
315,148031.27368240157
316,148266.04094588122
317,148500.4369675574
318,148734.46350259034
319,148968.12229235278
320,149201.41506458138
321,149434.34353352556
322,149666.90940009445
323,149899.11435200192
324,150130.9600639093
325,150362.44819756635
326,150593.58040195022
327,150824.35831340234
328,151054.78355576372
329,151284.85774050816
330,151514.58246687375
331,151743.95932199238
332,151972.989881018
333,152201.6757072524
334,152430.01835227004
335,152658.01935604055
336,152885.68024705007
337,153113.00254242073
338,153339.98774802854
339,153566.63735861995
340,153792.95285792626
341,154018.93571877744
342,154244.58740321355
343,154469.9093625952
344,154694.9030377126
345,154919.56985889268
346,155143.91124610556
347,155367.92860906897
348,155591.62334735162
349,155814.99685047532
350,156038.05049801554
351,156260.7856597009
352,156483.20369551113
353,156705.30595577418
354,156927.09378126162
355,157148.56850328317
356,157369.73144377986
357,157590.58391541618
358,157811.12722167085
359,158031.3626569266
360,158251.29150655874
361,158470.91504702283
362,158690.23454594094
363,158909.251262187
364,159127.96644597116
365,159346.3813389231
366,159564.49717417397
367,159782.31517643802
368,159999.83656209245
369,160217.0625392568
370,160433.9943078713
371,160650.63305977397
372,160866.97997877726
373,161083.03624074333
374,161298.80301365862
375,161514.28145770755
376,161729.47272534532
377,161944.37796136976
378,162158.99830299235
379,162373.3348799084
380,162587.3888143665
381,162801.16122123707
382,163014.65320807995
383,163227.86587521152
384,163440.80031577067
385,163653.45761578434
386,163865.83885423202
387,164077.94510310967
388,164289.77742749278
389,164501.33688559884
390,164712.62452884892
391,164923.64140192867
392,165134.38854284858
393,165344.86698300348
394,165555.0777472315
395,165765.02185387217
396,165974.70031482424
397,166184.11413560205
398,166393.26431539233
399,166602.15184710958
400,166810.77771745087
401,167019.14290695055
402,167227.24839003375
403,167435.0951350697
404,167642.6841044242
405,167850.01625451157
406,168057.0925358461
407,168263.91389309298
408,168470.48126511835
409,168676.7955850392
410,168882.85778027237
411,169088.66877258345
412,169294.22947813457
413,169499.54080753215
414,169704.60366587387
415,169909.41895279536
416,170113.987562516
417,170318.31038388467
418,170522.38830042473
419,170726.22219037852
420,170929.81292675156
421,171133.161377356
422,171336.26840485405
423,171539.13486680036
424,171741.76161568443
425,171944.1494989723
426,172146.29935914808
427,172348.21203375456
428,172549.88835543397
429,172751.32915196792
430,172952.53524631695
431,173153.5074566599
432,173354.2465964326
433,173554.7534743663
434,173755.02889452575
435,173955.0736563467
436,174154.88855467323
437,174354.47437979453
438,174553.83191748126
439,174752.9619490219
440,174951.86525125822
441,175150.5425966207
442,175348.99475316363
443,175547.22248459945
444,175745.22655033346
445,175943.00770549744
446,176140.56670098333
447,176337.90428347638
448,176535.02119548837
449,176731.91817538987
450,176928.59595744262
451,177125.05527183152
452,177321.29684469628
453,177517.3213981625
454,177713.12965037298
455,177908.72231551816
456,178104.10010386654
457,178299.26372179503
458,178494.21387181836
459,178688.95125261875
460,178883.4765590752
461,179077.79048229227
462,179271.8937096288
463,179465.7869247263
464,179659.4708075368
465,179852.94603435107
466,180046.21327782582
467,180239.27320701117
468,180432.12648737748
469,180624.7737808424
470,180817.215745797
471,181009.4530371324
472,181201.4863062654
473,181393.31620116447
474,181584.9433663753
475,181776.36844304577
476,181967.59206895123
477,182158.6148785192
478,182349.43750285386
479,182540.06056976065
480,182730.48470376982
481,182920.7105261609
482,183110.73865498597
483,183300.5697050931
484,183490.20428814983
485,183679.6430126657
486,183868.88648401556
487,184057.93530446166
488,184246.79007317632
489,184435.45138626394
490,184623.91983678302
