mE,mPhi,delta
0,380.38767408126,2.57338491749025e-09
0,409.8975869114963,2.2161895166748997e-09
0,385.6470046047864,2.5036735268748307e-09
0,397.0668268760752,2.3617308919636444e-09
0,397.50456713259905,2.3565321818535105e-09
0,418.31439443324786,2.127903849557628e-09
0,361.38369639467425,2.851152939565935e-09
0,419.00315570269703,2.1209138629300624e-09
0,380.24841338493314,2.5752701956803776e-09
0,415.0325516918955,2.161689424598796e-09
0,358.5970374196535,2.8956377604852644e-09
0,368.35473310994587,2.744259114249478e-09
0,362.94140764253774,2.826731683572935e-09
0,353.58641608600175,2.97828656542702e-09
0,418.7847852135757,2.1231262917796097e-09
0,417.54060344626464,2.135798069136315e-09
0,391.5724617250598,2.428473331829684e-09
0,416.2726802169966,2.1488287215369955e-09
0,394.7982325825926,2.388950887492269e-09
0,386.3277214077937,2.494858258692278e-09
0,373.16207031157774,2.674007592485301e-09
0,389.05294523051543,2.4600288877503165e-09
0,404.8658168184899,2.2716185111868208e-09
0,359.9502553677582,2.8739066262802876e-09
0,368.21376368428207,2.746360777719782e-09
0,424.07823617036746,2.0704542961719994e-09
0,404.32226214107067,2.277730363136384e-09
0,370.648706797396,2.7103953637987232e-09
0,357.7392301072116,2.909541057710717e-09
0,427.70682039805916,2.0354726259346316e-09
0,380.50690432938865,2.5717724512508386e-09
0,376.0631184370786,2.6329107478506423e-09
0,383.59925593582625,2.5304753449826354e-09
0,428.16420203454805,2.031126206595718e-09
0,380.815052039073,2.567612084164481e-09
0,407.04796423852486,2.2473279109516894e-09
0,369.901413634896,2.72135777669077e-09
0,426.19273823744635,2.0499606589243818e-09
0,419.079951025207,2.1201366300986634e-09
0,423.33250500357826,2.0777552347372536e-09
0,373.81887762630174,2.6646192762650826e-09
0,407.4981495886146,2.2423651629934177e-09
0,356.71951672600824,2.926199180239978e-09
0,379.902111748624,2.579967336221624e-09
0,419.5011144520338,2.1158816911318294e-09
0,415.7871032351278,2.153850671891109e-09
0,418.79414045894833,2.123031437794865e-09
0,401.3285098432906,2.3118390500051387e-09
0,428.31609280437533,2.0296858935187233e-09
0,355.7070625137161,2.9428806549655945e-09
0,368.24828694746816,2.745845859385053e-09
0,406.02587689595055,2.2586565317594684e-09
0,417.2479706183753,2.138794962461002e-09
0,406.17574125027994,2.256990111835172e-09
0,369.8523620726539,2.722079663172799e-09
0,414.70401718883204,2.1651158245216596e-09
0,411.81786985181805,2.1955697749292616e-09
0,353.5998854931541,2.978059670596928e-09
0,381.43176665327155,2.5593159536210726e-09
0,365.1028374861845,2.7933619211837623e-09
0,412.9113630846626,2.183956329495193e-09
0,360.66321419142537,2.8625555822655698e-09
0,409.1433091813385,2.2243683787327974e-09
0,372.63582826864814,2.681565475074903e-09
0,411.96512810526826,2.1940004285018487e-09
0,391.61725330800994,2.427917845834106e-09
0,415.1462449052318,2.160505572989185e-09
0,376.5522290737602,2.6260753169899496e-09
0,374.2572554037761,2.6583806486438174e-09
0,425.5800894897202,2.0558669966309063e-09
0,411.0690099535191,2.203576566129955e-09
0,401.56525834304676,2.3091138983541324e-09
0,428.53035356741026,2.027656756744858e-09
0,426.4568087421384,2.047422692326601e-09
0,426.34450658700234,2.04850144563676e-09
0,376.7279160857663,2.6236265482439714e-09
0,413.22871941677454,2.1806030956731773e-09
0,417.8786989266213,2.1323434226472137e-09
0,404.7744868966213,2.272643724800122e-09
0,390.58968304510756,2.440709469263612e-09
0,364.39585739302913,2.80421147998768e-09
0,378.0144892063998,2.605797901737102e-09
0,413.9600800046604,2.1729047763926993e-09
0,397.46103846689226,2.3570483699270532e-09
0,414.22296737930185,2.170147575374617e-09
0,384.16606315956125,2.523013812954215e-09
0,427.4164229852656,2.038239467740655e-09
0,419.45510155052006,2.116345927709282e-09
0,422.150984093663,2.0894020003675644e-09
0,360.26914346815465,2.868821266598016e-09
0,422.81478964594623,2.0828465628176903e-09
0,378.35137241934564,2.60115957415893e-09
0,362.42734926442813,2.8347561095664474e-09
0,419.1501864606301,2.119426162800071e-09
0,424.87105842559106,2.0627344445106993e-09
0,393.66661530327,2.4027049811883234e-09
0,396.0308035075856,2.3741037121986838e-09
0,415.4254984601781,2.1576019182508587e-09
0,412.8032219793754,2.1851007314059522e-09
0,369.0841689304203,2.7334226541234646e-09
0,356.2331923821862,2.9341942430514143e-09
0,368.0559788782008,2.7487160005051645e-09
0,410.4415792891027,2.2103188086870904e-09
0,403.01456109387397,2.2925358976446482e-09
0,424.09430712168773,2.070297380407193e-09
0,389.6885070897687,2.4520110704629892e-09
0,410.6698461641647,2.2078623226595406e-09
0,362.6856239597356,2.830720189302154e-09
0,385.12304375564173,2.5104906694657947e-09
0,424.7316313757323,2.064088938387287e-09
0,400.3530571968408,2.323118278860026e-09
0,418.3339011645572,2.127705407677922e-09
0,372.56413352430644,2.682597633802122e-09
0,385.367226077538,2.507310205645101e-09
0,368.2796199528643,2.745378649451161e-09
0,400.2683538902567,2.324101602315565e-09
0,426.4519211574821,2.0474696238048734e-09
0,425.0048748221255,2.0614357100042335e-09
0,371.0950336872955,2.703879540024837e-09
0,359.84630038697554,2.875567335757554e-09
0,409.7509531311824,2.217775975019583e-09
0,418.14713474113495,2.1296065217170035e-09
0,398.4362617645147,2.3455241402974486e-09
0,404.5879260468373,2.2747401003542785e-09
0,389.21605848043663,2.4579674144944062e-09
0,408.31823308327995,2.2333668870769093e-09
0,393.41986010854396,2.40571990725673e-09
0,407.7175994961571,2.2399519513862903e-09
0,414.9627326903865,2.1624169101755262e-09
0,356.1212202548555,2.936039680084565e-09
0,362.52892924382064,2.8331677445014295e-09
0,360.26987030965995,2.8688096909622553e-09
0,361.98896261508526,2.841626329031042e-09
0,384.1792717615356,2.522840326685381e-09
0,357.6593554448447,2.910840755713568e-09
0,425.2876976281007,2.0586948491573444e-09
0,408.31840267238243,2.2333650318843754e-09
0,366.1729266223615,2.7770593573865526e-09
0,398.4057620148641,2.3458832748677785e-09
0,423.3976835316285,2.0771155779059213e-09
0,422.8173316765811,2.0828215182241865e-09
0,360.0644319693842,2.872084280843046e-09
0,372.63975556013366,2.6815089527407557e-09
0,428.34755421827083,2.0293877503630763e-09
0,370.62650875014106,2.7107200426240164e-09
0,363.2264186080188,2.8222973503134767e-09
0,384.73861766189674,2.5155100789461186e-09
0,359.0738565074508,2.887952552014085e-09
1,381.3921871077745,2.559316351277068e-09
1,398.95881919539823,2.3389365214728964e-09
1,421.09875528306173,2.0994926984457014e-09
1,366.93615142764446,2.7649040490727784e-09
1,367.8603637157845,2.7510311754061805e-09
1,392.1098066728261,2.4213442217256303e-09
1,359.8400136793231,2.8750056735019733e-09
1,369.0913350739162,2.7327152512273526e-09
1,410.1745326535049,2.212795303212454e-09
1,419.6306396840147,2.1142066061336655e-09
1,398.0918785139745,2.349133041052085e-09
1,406.0911742651151,2.257512088360316e-09
1,393.03098257587726,2.4100093606158563e-09
1,417.2544049466241,2.1383518477038367e-09
1,424.7233876956016,2.0638165357881625e-09
1,357.4930556472731,2.912870728935944e-09
1,416.7593103186625,2.1434346203163807e-09
1,372.9288004162742,2.6767757779511524e-09
1,418.5166461674673,2.125474848906309e-09
1,353.5395731512561,2.9783677528599208e-09
1,426.90179098449346,2.042810911506008e-09
1,405.2189332358565,2.2672395872998717e-09
1,398.1621721770853,2.348303800903137e-09
1,418.1790049161135,2.1289079428243844e-09
1,377.4553445765288,2.612971656141671e-09
1,372.9147262220016,2.6769777911627623e-09
1,417.29616824583564,2.137923921648958e-09
1,355.70438211405,2.942233143821094e-09
1,377.4328630775076,2.6132828854961543e-09
1,384.4239934041029,2.5191142195423294e-09
1,417.4156878625484,2.1366999780065053e-09
1,402.4561207129536,2.298469780029348e-09
1,421.36285995641964,2.0968620660906427e-09
1,373.71258804845394,2.665561716601344e-09
1,360.4785736732766,2.864831093863404e-09
1,417.57897135419785,2.135029567298658e-09
1,394.70903286868287,2.3895648739610856e-09
1,402.8727600469706,2.293719021372749e-09
1,427.1216526419442,2.040708692334584e-09
1,353.55587132087237,2.978093225091155e-09
1,426.07482523775246,2.0507471455675648e-09
1,400.3543403945658,2.322661994160714e-09
1,421.2014131936372,2.098469579622792e-09
1,363.80894712084,2.812631384104593e-09
1,376.64086005772924,2.6242827983529114e-09
1,361.69625027561403,2.845578191028545e-09
1,365.334866911965,2.789189745926365e-09
1,391.949093856348,2.4233299468854976e-09
1,368.0904094428298,2.747594305806072e-09
1,357.6297477328064,2.910644924508432e-09
1,416.5838978847412,2.1452397991838505e-09
1,415.1066782667836,2.1605328267445974e-09
1,379.3265725177287,2.5872603729425476e-09
1,388.3680043331026,2.4682182665345623e-09
1,406.7941211012772,2.2497180920427113e-09
1,374.79461924813603,2.6501959519477847e-09
1,420.9359637730517,2.101116660997224e-09
1,403.0245189838701,2.2919922385327207e-09
1,357.33052501411623,2.9155205954514836e-09
1,370.3049602547783,2.7148359013826986e-09
1,409.50136108373687,2.220075229693479e-09
1,361.3175983715088,2.8515442803305065e-09
1,387.12354546201243,2.484109697023417e-09
1,382.82994625974663,2.540132430029601e-09
1,387.5482298421236,2.4786693769281658e-09
1,356.89544661666775,2.9226318459314655e-09
1,378.8614369302324,2.593615931509571e-09
1,427.2179713539006,2.0397887577690855e-09
1,374.70358467080234,2.651483595214726e-09
1,404.20065644881,2.2786754722839202e-09
1,421.3083168565397,2.0974049410619985e-09
1,400.39149358550617,2.3222310383403244e-09
1,386.29678753970694,2.4947521863103157e-09
1,402.1617102276428,2.301835720843721e-09
1,402.59971413366725,2.2968307807656e-09
1,367.2247104414902,2.7605613934234e-09
1,393.2601023266995,2.4072024535565835e-09
1,366.39512121179155,2.7730739220552265e-09
1,406.92703947335065,2.2482488837961584e-09
1,424.01907576326516,2.0706773253917094e-09
1,427.78252339128073,2.0344092398181792e-09
1,416.6621091241646,2.1444346414844523e-09
1,395.6628569017262,2.3780597301864918e-09
1,354.5983345415231,2.9606124295140285e-09
1,401.39406876459225,2.3106468751184766e-09
1,419.1758042193058,2.1187964988259018e-09
1,384.57565205895816,2.5171281350877275e-09
1,359.8194303444284,2.875334542015219e-09
1,413.67177234794826,2.175544902956956e-09
1,358.90740272700566,2.889963217634683e-09
1,426.30907315066634,2.0484944245245366e-09
1,363.36509670870373,2.8195054387887254e-09
1,409.87573638863876,2.2160221705186616e-09
1,381.43355329525684,2.5587613730754183e-09
1,411.4930047695545,2.1986402149543e-09
1,384.5978497662607,2.5168376364206187e-09
1,385.45272117600126,2.5056881867687875e-09
1,368.3388000735615,2.74389059046884e-09
1,387.14599296560846,2.4838216903979145e-09
1,393.13895053025186,2.408686052307415e-09
